usingWebGL,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,signatures_friend,signatures_foe,band_ranges_top,band_ranges_bottom,formitemText,formtype,formundefined,formitemWidth,formindex,formresponse,formrt,key_resp_2.keys,key_resp_2.rt,tute_resp.keys,tute_resp.rt,tutorial.thisRepN,tutorial.thisTrialN,tutorial.thisN,tutorial.thisIndex,tutorial.ran,key_resp_4.keys,key_resp_4.rt,key_resp.keys,key_resp.corr,lines_presented,is_signal_presented,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,vessel,active_band,lines,is_signal,supported_pos,catch_trial,key_resp.rt,debrief_formindex,debrief_formitemText,debrief_formtype,debrief_formitemWidth,debrief_formresponse,debrief_formrt,phases.thisRepN,phases.thisTrialN,phases.thisN,phases.thisIndex,phases.ran,phases.order,phase
,613a83688ba242a0b26b0fd1,627c6e1daaee023364a37de3,2022-05-11_21h19.35.616,classification_task,2021.2.3,MacIntel,59.99880002,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,,,,,,,,,,a,0,"[""0.123"",""0.286"",""0.673"",""0.463""]","[1,1,1,0]",0,24,24,24,1,1,1,,,0,FALSE,0.722,,,,,,,,,,,,,
,613a83688ba242a0b26b0fd1,627c6e1daaee023364a37de3,2022-05-11_21h19.35.616,classification_task,2021.2.3,MacIntel,59.99880002,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,,,,,,,,,,l,0,"[""0.165"",""0.511"",""0.885"",""0.555""]","[1,1,1,0]",0,25,25,25,1,0,0,,,0,FALSE,0.8358,,,,,,,,,,,,,
,613a83688ba242a0b26b0fd1,627c6e1daaee023364a37de3,2022-05-11_21h19.35.616,classification_task,2021.2.3,MacIntel,59.99880002,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,,,,,,,,,,a,0,"[""0.060"",""0.425"",""0.611"",""0.463""]","[1,1,1,0]",0,26,26,26,1,1,0,,,0,FALSE,0.6299,,,,,,,,,,,,,
,613a83688ba242a0b26b0fd1,627c6e1daaee023364a37de3,2022-05-11_21h19.35.616,classification_task,2021.2.3,MacIntel,59.99880002,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,,,,,,,,,,l,0,"[""0.165"",""0.571"",""0.885"",""0.969""]","[1,0,1,1]",0,27,27,27,1,0,0,,,0,FALSE,0.421,,,,,,,,,,,,,
,613a83688ba242a0b26b0fd1,627c6e1daaee023364a37de3,2022-05-11_21h19.35.616,classification_task,2021.2.3,MacIntel,59.99880002,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,,,,,,,,,,l,0,"[""0.165"",""0.511"",""0.555"",""0.969""]","[1,1,0,1]",0,28,28,28,1,0,0,,,0,FALSE,0.5618,,,,,,,,,,,,,
,613a83688ba242a0b26b0fd1,627c6e1daaee023364a37de3,2022-05-11_21h19.35.616,classification_task,2021.2.3,MacIntel,59.99880002,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,,,,,,,,,,a,1,"[""0.250"",""0.319"",""0.832"",""0.926""]","[1,0,1,1]",0,29,29,29,1,0,1,,,0,FALSE,0.9559,,,,,,,,,,,,,
,613a83688ba242a0b26b0fd1,627c6e1daaee023364a37de3,2022-05-11_21h19.35.616,classification_task,2021.2.3,MacIntel,59.99880002,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,,,,,,,,,,l,0,"[""0.463"",""0.368"",""0.832"",""0.926""]","[0,1,1,1]",0,30,30,30,1,0,1,,,0,FALSE,2.0081,,,,,,,,,,,,,
,613a83688ba242a0b26b0fd1,627c6e1daaee023364a37de3,2022-05-11_21h19.35.616,classification_task,2021.2.3,MacIntel,59.99880002,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,,,,,,,,,,a,0,"[""0.123"",""0.330"",""0.673"",""0.732""]","[1,0,1,1]",0,31,31,31,1,1,1,,,0,FALSE,0.7348,,,,,,,,,,,,,
,613a83688ba242a0b26b0fd1,627c6e1daaee023364a37de3,2022-05-11_21h19.35.616,classification_task,2021.2.3,MacIntel,59.99880002,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,,,,,,,,,,l,1,"[""0.123"",""0.330"",""0.673"",""0.732""]","[1,0,1,1]",0,32,32,32,1,1,1,,,0,FALSE,0.5963,,,,,,,,,,,,,
,613a83688ba242a0b26b0fd1,627c6e1daaee023364a37de3,2022-05-11_21h19.35.616,classification_task,2021.2.3,MacIntel,59.99880002,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,,,,,,,,,,l,0,"[""0.165"",""0.511"",""0.885"",""0.463""]","[1,1,1,0]",0,33,33,33,1,0,0,,,0,FALSE,0.6728,,,,,,,,,,,,,
,613a83688ba242a0b26b0fd1,627c6e1daaee023364a37de3,2022-05-11_21h19.35.616,classification_task,2021.2.3,MacIntel,59.99880002,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,,,,,,,,,,a,1,"[""0.165"",""0.574"",""0.885"",""0.969""]","[1,0,1,1]",0,34,34,34,1,0,0,,,0,FALSE,0.9563,,,,,,,,,,,,,
,613a83688ba242a0b26b0fd1,627c6e1daaee023364a37de3,2022-05-11_21h19.35.616,classification_task,2021.2.3,MacIntel,59.99880002,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,,,,,,,,,,l,0,"[""0.330"",""0.368"",""0.832"",""0.926""]","[0,1,1,1]",0,35,35,35,1,0,1,,,0,FALSE,1.5751,,,,,,,,,,,,,
,613a83688ba242a0b26b0fd1,627c6e1daaee023364a37de3,2022-05-11_21h19.35.616,classification_task,2021.2.3,MacIntel,59.99880002,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,,,,,,,,,,l,1,"[""0.060"",""0.560"",""0.611"",""0.798""]","[1,0,1,1]",0,36,36,36,1,1,0,,,0,FALSE,0.5342,,,,,,,,,,,,,
,613a83688ba242a0b26b0fd1,627c6e1daaee023364a37de3,2022-05-11_21h19.35.616,classification_task,2021.2.3,MacIntel,59.99880002,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,,,,,,,,,,l,0,"[""0.200"",""0.511"",""0.885"",""0.969""]","[0,1,1,1]",0,37,37,37,1,0,0,,,0,FALSE,0.4914,,,,,,,,,,,,,
,613a83688ba242a0b26b0fd1,627c6e1daaee023364a37de3,2022-05-11_21h19.35.616,classification_task,2021.2.3,MacIntel,59.99880002,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,,,,,,,,,,a,0,"[""0.060"",""0.425"",""0.611"",""0.560""]","[1,1,1,0]",0,38,38,38,1,1,0,,,0,FALSE,0.6103,,,,,,,,,,,,,
,613a83688ba242a0b26b0fd1,627c6e1daaee023364a37de3,2022-05-11_21h19.35.616,classification_task,2021.2.3,MacIntel,59.99880002,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,,,,,,,,,,l,1,"[""0.060"",""0.425"",""0.200"",""0.798""]","[1,1,0,1]",0,39,39,39,1,1,0,,,0,FALSE,4.2026,,,,,,,,,,,,,
